PG.ProteinAccessions,proteinName
Q8WWV6,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
P0DOX2,Immunoglobulin alpha-2 heavy chain
P0DOX3,Immunoglobulin delta heavy chain
P01876,Immunoglobulin heavy constant alpha 1
P01880,Immunoglobulin heavy constant delta
P01859,Immunoglobulin heavy constant gamma 2
P01860,Immunoglobulin heavy constant gamma 3
P01861,Immunoglobulin heavy constant gamma 4
P01871,Immunoglobulin heavy constant mu
A0A0C4DH31,Immunoglobulin heavy variable 1-18
P23083,Immunoglobulin heavy variable 1-2
A0A0C4DH33,Immunoglobulin heavy variable 1-24
A0A0C4DH29,Immunoglobulin heavy variable 1-3
A0A0A0MS14,Immunoglobulin heavy variable 1-45
P01743,Immunoglobulin heavy variable 1-46
A0A0C4DH39,Immunoglobulin heavy variable 1-58
P01742,Immunoglobulin heavy variable 1-69
A0A0B4J2H0,Immunoglobulin heavy variable 1-69D
P0DP01,Immunoglobulin heavy variable 1-8
A0A0B4J1V2,Immunoglobulin heavy variable 2-26
P01817,Immunoglobulin heavy variable 2-5
P01814,Immunoglobulin heavy variable 2-70
A0A0C4DH43,Immunoglobulin heavy variable 2-70D
P01762,Immunoglobulin heavy variable 3-11
P01766,Immunoglobulin heavy variable 3-13
A0A0B4J1V0,Immunoglobulin heavy variable 3-15
A0A0C4DH32,Immunoglobulin heavy variable 3-20
A0A0B4J1V1,Immunoglobulin heavy variable 3-21
P01764,Immunoglobulin heavy variable 3-23
P01772,Immunoglobulin heavy variable 3-33
A0A0B4J1X8,Immunoglobulin heavy variable 3-43
P01763,Immunoglobulin heavy variable 3-48
A0A0A0MS15,Immunoglobulin heavy variable 3-49
A0A075B6Q5,Immunoglobulin heavy variable 3-64
A0A0J9YX35,Immunoglobulin heavy variable 3-64D
P01780,Immunoglobulin heavy variable 3-7
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72
A0A0B4J1V6,Immunoglobulin heavy variable 3-73
A0A0B4J1X5,Immunoglobulin heavy variable 3-74
A0A0C4DH34,Immunoglobulin heavy variable 4-28
A0A087WSY4,Immunoglobulin heavy variable 4-30-2
P06331,Immunoglobulin heavy variable 4-34
P0DP08,Immunoglobulin heavy variable 4-38-2
A0A075B6R2,Immunoglobulin heavy variable 4-4
A0A0J9YXX1,Immunoglobulin heavy variable 5-10-1
A0A0C4DH38,Immunoglobulin heavy variable 5-51
A0A0B4J1U7,Immunoglobulin heavy variable 6-1
P01591,Immunoglobulin J chain
P01834,Immunoglobulin kappa constant
P0DOX7,Immunoglobulin kappa light chain
P04430,Immunoglobulin kappa variable 1-16
P01599,Immunoglobulin kappa variable 1-17
A0A075B6S5,Immunoglobulin kappa variable 1-27
P01602,Immunoglobulin kappa variable 1-5
A0A0C4DH67,Immunoglobulin kappa variable 1-8
P01601,Immunoglobulin kappa variable 1D-16
A0A087WSZ0,Immunoglobulin kappa variable 1D-8
P06310,Immunoglobulin kappa variable 2-30
A0A075B6S2,Immunoglobulin kappa variable 2D-29
P01619,Immunoglobulin kappa variable 3-20
