uniprot,proteinName,meanAbu,log10meanAbu,stdDev,relStdDev,Rank,conc_thpa_ugl,mars14,sepromix20
Q9H7P6,Multivesicular body subunit 12B,51958929.675,7.71566019626879,75331650.789563,1.44983068859882,1,,0,0
Q86UP3,Zinc finger homeobox protein 4,12854913.255957,7.1090691504004,7305904.7274798,0.568335591381312,2,,0,0
O14746,Telomerase reverse transcriptase,6862769.4828125,6.83649941138902,4687637.82025684,0.683053369634055,3,,0,0
Q5SZB4,Uncharacterized protein C9orf50,5632631.8125,6.75071136369309,1453540.35053538,0.258057050224668,4,,0,0
Q9Y4F1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",5557459.54206543,6.74487630974769,13102805.943008,2.357697045535,5,,0,0
Q9BUB5,MAP kinase-interacting serine/threonine-protein kinase 1,4273562.87167969,6.63079009758326,2548839.15780893,0.596420184829792,6,,0,0
O95382,Mitogen-activated protein kinase kinase kinase 6,3368939.55625,6.52749321916676,778835.858249128,0.231181309502643,7,,0,0
A0A0C4DH25,Immunoglobulin kappa variable 3D-20,1687801.15351563,6.2273212793644,2981038.70130836,1.76622624951936,8,,0,0
Q96K21,Abscission/NoCut checkpoint regulator,1141277.127948,6.05739111376522,3585105.92769145,3.14131058960011,9,,0,0
Q03591,Complement factor H-related protein 1,1132209.540625,6.05392681016996,262505.817807858,0.231852681318115,10,15000,0,0
Q9BTV5,Fibronectin type III and SPRY domain-containing protein 1,772353.88125,5.88781633331475,329798.104810233,0.427003881014332,11,,0,0
P01780,Immunoglobulin heavy variable 3-7,753147.610839844,5.87688010274867,1278562.06733483,1.69762480678799,12,,0,0
P25311,Zinc-alpha-2-glycoprotein,704096.496875,5.84763218355751,334759.830133418,0.475445953245311,13,160000,0,0
P08603,Complement factor H,700530.9453125,5.84542732460626,115238.594723077,0.164501790383679,14,110000,0,0
P14616,Insulin receptor-related protein,650707.5671875,5.81338585724664,156144.999706745,0.239961862410234,15,,0,0
O00142,"Thymidine kinase 2, mitochondrial",609267.991229248,5.78480836243817,397936.21775363,0.653138230601548,16,,0,0
Q9Y5R5,Doublesex- and mab-3-related transcription factor 2,598643.397265625,5.77716819681729,586012.903254275,0.978901472781557,17,,0,0
O60237,Protein phosphatase 1 regulatory subunit 12B,588829.652105713,5.76998967195043,909804.535563391,1.5451065215718,18,,0,0
P02751,Fibronectin,584976.1390625,5.76713815174914,444842.119418596,0.760444896319213,19,47000,0,0
P00747,Plasminogen,532395.44375,5.72623433011838,94717.0641156039,0.177907352941361,20,41000,0,1
Q9NRS4,Transmembrane protease serine 4,501799.4487854,5.70053017991683,303357.836653996,0.604539995785706,21,,0,0
P0C0L4,Complement C4-A,487882.54375,5.68831527950052,115550.178008131,0.236840156485165,22,98000,0,1
Q9NP78,ABC-type oligopeptide transporter ABCB9,474582.97109375,5.67631215087943,288116.303648711,0.607093640517068,23,,0,0
Q92930,Ras-related protein Rab-8B,437607.146972656,5.64108440625371,167299.216379975,0.382304579660872,24,,0,0
P02787,Serotransferrin,432407.0078125,5.63589272374019,532217.546867254,1.23082544281529,25,120000,1,1
P35858,Insulin-like growth factor-binding protein complex acid labile subunit,416708.16015625,5.61983200507962,129463.178367952,0.310680689140832,26,44000,0,0
P46778,60S ribosomal protein L21,411549.655230713,5.61442224220124,415948.950179987,1.01068958482497,27,,0,0
P01023,Alpha-2-macroglobulin,406523.55390625,5.60908571360823,141316.742106226,0.347622519650646,28,220000,1,1
P02649,Apolipoprotein E,394164.31015625,5.59567729826939,177210.785368169,0.449586075659465,29,63000,0,0
Q96QU8,Exportin-6,392774.501904297,5.59414328654441,369764.275826144,0.941416191818482,30,,0,0
P01031,Complement C5,392299.4921875,5.59361774595694,52913.0505798275,0.134879222720323,31,46000,0,0
P00738,Haptoglobin,390693.326318359,5.59183599282738,336318.309616988,0.860824301214032,32,140000,1,1
O76011,"Keratin, type I cuticular Ha4",387604.896588135,5.5883892548281,375128.898009384,0.967812587796053,33,170,0,0
P00734,Prothrombin,356909.83125,5.5525585109672,60954.5750068854,0.170784242040644,34,43000,0,0
A0A087WSY6,Immunoglobulin kappa variable 3D-15,356772.559570313,5.55239144411923,536159.384078325,1.5028044329532,35,,0,0
P06312,Immunoglobulin kappa variable 4-1,349412.408398438,5.54333832366719,363924.530811808,1.04153293376125,36,,0,0
P56182,Ribosomal RNA processing protein 1 homolog A,335079.323358154,5.52514762977944,621889.420289262,1.85594686672011,37,,0,0
P00450,Ceruloplasmin,333762.621875,5.52343769836368,55870.6059094693,0.167396233873048,38,830000,0,1
P02675,Fibrinogen beta chain,328904.95625,5.51707041789071,120114.086155016,0.365193907457318,39,120000,1,1
P07360,Complement component C8 gamma chain,326920.04140625,5.51444154525259,63977.4058629099,0.195697411476245,40,1500,0,0
P01876,Immunoglobulin heavy constant alpha 1,326766.247900391,5.51423719134989,494637.605451909,1.51373530353934,41,,0,0
P06727,Apolipoprotein A-IV,325672.6859375,5.51278133595494,97356.7545831644,0.298940496968322,42,140000,0,0
P02679,Fibrinogen gamma chain,321931.11484375,5.5077629535477,115128.648450872,0.357618891565513,43,68000,1,1
P04196,Histidine-rich glycoprotein,309338.32734375,5.49043373287956,65956.2604742578,0.213217227365959,44,30000,0,0
P01814,Immunoglobulin heavy variable 2-70,301620.734716797,5.47946119350928,600915.014531541,1.99228682038641,45,,0,0
P02743,Serum amyloid P-component,298310.39921875,5.47466839330373,100765.800811962,0.337788428012765,46,76000,0,0
P22792,Carboxypeptidase N subunit 2,295780.1796875,5.4709690684413,47034.9223400519,0.159019858564376,47,42000,0,0
P01042,Kininogen-1,295636.7109375,5.47075836195435,40932.1233550522,0.138454129141308,48,64000,0,0
P00751,Complement factor B,283484.18828125,5.45252884053508,54321.5627384009,0.191621137911605,49,180000,0,0
P04114,Apolipoprotein B-100,276872.75078125,5.44228021552287,86771.0950549972,0.313397020147904,50,89000,0,1
P06396,Gelsolin,276609.5359375,5.44186714805691,62943.649679873,0.227554156679888,51,510000,0,0
P04003,C4b-binding protein alpha chain,275585.00078125,5.44025557660568,43242.397000931,0.156911286457333,52,34000,0,0
P02655,Apolipoprotein C-II,268509.449316406,5.42895957388571,353162.552273886,1.31527047995144,53,110000,0,0
P02656,Apolipoprotein C-III,266462.331152344,5.42563582301004,379110.060410196,1.42275292260146,54,97000,0,0
Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,263734.5296875,5.42116699392318,38034.5099751965,0.144215131861056,55,53000,0,0
Q17RQ9,NTPase KAP family P-loop domain-containing protein 1,261680.903912354,5.41777203128304,207072.743974147,0.791317749511836,56,,0,0
P04217,Alpha-1B-glycoprotein,255328.5,5.40709929385604,46678.643074044,0.182817989664468,57,49000,0,0
P02671,Fibrinogen alpha chain,253784.7890625,5.40446558850657,88146.249688184,0.347326764593744,58,170000,1,1
P35556,Fibrillin-2,252535.22109375,5.4023219577415,71848.4838733775,0.284508765003931,59,4.6,0,0
P10909,Clusterin,242258.0921875,5.38427829277618,37567.3028663278,0.155071405570436,60,36000,0,0
P02790,Hemopexin,242001.18046875,5.38381748445074,48063.7352172582,0.198609507293146,61,230000,0,0
O75636,Ficolin-3,235025.50234375,5.37111498961747,76447.5628083064,0.325273479030772,62,33000,0,0
P43652,Afamin,231893.0703125,5.36528777075955,52914.6330865827,0.228185486592052,63,5000,0,0
P00736,Complement C1r subcomponent,227530.45234375,5.35703953022296,36680.6163089865,0.161211899027783,64,14000,0,0
P13473,Lysosome-associated membrane glycoprotein 2,226939.293359375,5.35590969822834,69200.2249739708,0.304928353083338,65,820,0,0
P02746,Complement C1q subcomponent subunit B,226348.996875,5.35477857414553,39858.5455145951,0.176093316360517,66,4700,0,1
P19823,Inter-alpha-trypsin inhibitor heavy chain H2,222674.02578125,5.34766956091476,32452.3918381662,0.145739458045487,67,22000,0,0
Q562R1,Beta-actin-like protein 2,217991.566992188,5.33843969323948,212838.407500798,0.976360739259356,68,2600,0,0
P51884,Lumican,217679.5484375,5.33781762785611,56380.1156657967,0.259005111277068,69,59000,0,0
P43155,Carnitine O-acetyltransferase,213033.686016846,5.32844828181674,423825.696491872,1.98947736583949,70,,0,0
P02775,Platelet basic protein,212678.084179688,5.32772273950213,184666.531026485,0.86829130391481,71,3500,0,0
Q9Y5Y7,Lymphatic vessel endothelial hyaluronic acid receptor 1,211750.5171875,5.32582447974137,89263.7124524271,0.421551331434937,72,3000,0,0
P02774,Vitamin D-binding protein,210835.5609375,5.32394386373414,25929.095922731,0.122982554780773,73,69000,0,0
P09871,Complement C1s subcomponent,210400.2546875,5.32304626119135,34757.5285299187,0.16519717897463,74,13000,0,0
P36955,Pigment epithelium-derived factor,207866.39921875,5.31778429301958,32346.4352952794,0.155611659300642,75,85000,0,0
P35030,Trypsin-3,205716.273632813,5.31326864886233,121087.812818387,0.588615624228732,76,490,0,0
P07358,Complement component C8 beta chain,205155.28359375,5.31208270631908,28563.2424447642,0.139227427850824,77,3600,0,0
P05109,Protein S100-A8,204581.284814453,5.31086590174383,329286.39473763,1.6095626490775,78,530,0,0
P00740,Coagulation factor IX,204448.806640625,5.31058457993851,40470.7103756243,0.197950337987361,79,11000,0,0
P02749,Beta-2-glycoprotein 1,200620.13515625,5.30237451865655,38348.3754230496,0.19114918546527,80,44000,0,0
P02747,Complement C1q subcomponent subunit C,200043.5171875,5.30112448175693,28040.1214302115,0.140170108106676,81,1300,0,1
P05156,Complement factor I,189921.21640625,5.27857348318608,26387.4558871426,0.138938957881876,82,11000,0,0
Q96L96,Alpha-protein kinase 3,189531.899581909,5.27768231534095,310712.954722138,1.63937023481295,83,,0,0
P61626,Lysozyme C,189358.20859375,5.27728413633669,65981.595453713,0.348448561822161,84,2600,0,0
P68871,Hemoglobin subunit beta,182184.787890625,5.2605121113254,175922.88002319,0.965628810506427,85,15000,0,0
P07225,Vitamin K-dependent protein S,180615.18984375,5.25675427193493,24856.3844121853,0.137620675391082,86,3400,0,0
P00915,Carbonic anhydrase 1,177913.5765625,5.2502090903054,93168.2107700123,0.523671169846236,87,7800,0,0
P0DOX6,Immunoglobulin mu heavy chain,177627.312695313,5.24950974545642,158156.010747585,0.89038114886573,88,,0,0
P0C0L5,Complement C4-B,169060.318359375,5.2280416824652,79152.3794077941,0.468190171270932,89,97000,0,1
P02760,Protein AMBP,169025.070703125,5.22795112627342,27939.0849543061,0.165295508163864,90,71000,0,0
P10643,Complement component C7,167260.101171875,5.22339235514382,92520.3784077949,0.553152711014576,91,67000,0,0
P01860,Immunoglobulin heavy constant gamma 3,162342.899365234,5.2104332979886,158200.385625684,0.974482938547068,92,,0,0
A0A0B4J1U7,Immunoglobulin heavy variable 6-1,160381.597900391,5.20515453608784,176437.630088059,1.10011143671009,93,,0,0
P08571,Monocyte differentiation antigen CD14,158507.19296875,5.20004897504434,38910.4742574747,0.245480810862293,94,15000,0,0
P84085,ADP-ribosylation factor 5,157912.44079895,5.19841634633191,365804.872681523,2.31650445544855,95,4.6,0,0
P02765,Alpha-2-HS-glycoprotein,155965.19296875,5.19302768689122,34674.2885182976,0.22232068488028,96,140000,0,0
P0DOX8,Immunoglobulin lambda-1 light chain,155030.497070313,5.1904171395028,184723.620738257,1.19153085508381,97,,0,0
P06681,Complement C2,154812.623046875,5.18980636911236,26998.5296696388,0.174394885496282,98,52000,0,0
O43866,CD5 antigen-like,154011.730078125,5.18755379950008,91602.4085032445,0.594775530777933,99,6800,0,0
P05543,Thyroxine-binding globulin,151638.061328125,5.18080822339434,32195.8324154586,0.212320258736301,100,49000,0,0
P04211,Immunoglobulin lambda variable 7-43,150917.501074219,5.1787396054432,182757.795376922,1.2109781441918,101,,0,0
Q16610,Extracellular matrix protein 1,149152.094921875,5.1736293576419,50090.8739146245,0.335837548516243,102,12000,0,0
P08697,Alpha-2-antiplasmin,148454.993359375,5.17159480989401,17473.480262161,0.117702206350593,103,110000,0,0
P19827,Inter-alpha-trypsin inhibitor heavy chain H1,144215.68984375,5.15901251171411,27738.3182013758,0.192339115330854,104,31000,0,0
A0A075B6P5,Immunoglobulin kappa variable 2-28,143906.177185059,5.15807943646479,200199.314011636,1.39117943320936,105.5,,0,0
P01615,Immunoglobulin kappa variable 2D-28,143906.177185059,5.15807943646479,200199.314011636,1.39117943320936,105.5,,0,0
