gene,gene_id,uniprot,protein_class,molec_function,conc_thpa_ugl,conc_inter_bgs_average_ugl,conc_inter_geyer_ppd_ugl,top15bgs_thpa,top15bgs_thpa_log,mars14,sepromix20,,
Albumin,ENSG00000163631,P02768,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,35400000,35400000,1600000,35400000,7.549003262,1,1,,
Complement C3,ENSG00000125730,P01024,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,250000,509000,1110000,1260000,6.100370545,1,1,,
Apolipoprotein A1,ENSG00000118137,P02647,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,220000,2420000,1010000,794000,5.899820502,1,1,,
Alpha-2-macroglobulin,ENSG00000175899,P01023,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",220000,1990000,1080000,746000,5.872738827,1,1,,
Serpin family A member 1,ENSG00000197249,P01009,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Protease inhibitor, Serine protease inhibitor",210000,818000,244000,465000,5.667452953,1,1,,
Apolipoprotein A2,ENSG00000158874,P02652,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,210000,9930,311000,314000,5.496929648,1,0,,
Fibrinogen alpha chain,ENSG00000171560,P02671,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",,170000,1440000,1030000,250000,5.397940009,1,1,,
Transthyretin,ENSG00000118271,P02766,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Hormone, Thyroid hormone",180000,12400,364000,176000,5.245512668,1,1,,
Haptoglobin,ENSG00000257017,P00738,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins","Antibiotic, Antimicrobial, Antioxidant, Serine protease homolog",140000,746000,730000,140000,5.146128036,1,1,,
Transferrin,ENSG00000091513,P02787,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,120000,1260000,1390000,120000,5.079181246,1,1,,
Fibrinogen beta chain,ENSG00000171564,P02675,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",,120000,465000,349000,120000,5.079181246,1,1,,
