PG.ProteinAccessions,proteinName
A0A075B6I0,Immunoglobulin lambda variable 8-61
A0A075B6I4,Immunoglobulin lambda variable 10-54
A0A075B6J9,Immunoglobulin lambda variable 2-18
A0A075B6K0,Immunoglobulin lambda variable 3-16
A0A075B6K4,Immunoglobulin lambda variable 3-10
A0A075B6K5,Immunoglobulin lambda variable 3-9
A0A075B6P5,Immunoglobulin kappa variable 2-28
A0A075B6Q5,Immunoglobulin heavy variable 3-64
A0A075B6R2,Immunoglobulin heavy variable 4-4
A0A075B6R9,Probable non-functional immunoglobulin kappa variable 2D-24
A0A075B6S2,Immunoglobulin kappa variable 2D-29
A0A075B6S5,Immunoglobulin kappa variable 1-27
A0A075B6S9,Probable non-functional immunoglobulinn kappa variable 1-37
A0A087WSY4,Immunoglobulin heavy variable 4-30-2
A0A087WSY6,Immunoglobulin kappa variable 3D-15
A0A087WSZ0,Immunoglobulin kappa variable 1D-8
A0A0A0MS15,Immunoglobulin heavy variable 3-49
A0A0B4J1U3,Immunoglobulin lambda variable 1-36
A0A0B4J1U7,Immunoglobulin heavy variable 6-1
A0A0B4J1V0,Immunoglobulin heavy variable 3-15
A0A0B4J1V1,Immunoglobulin heavy variable 3-21
A0A0B4J1V2,Immunoglobulin heavy variable 2-26
A0A0B4J1V6,Immunoglobulin heavy variable 3-73
A0A0B4J1X5,Immunoglobulin heavy variable 3-74
A0A0B4J1X8,Immunoglobulin heavy variable 3-43
A0A0B4J1Y8,Immunoglobulin lambda variable 9-49
A0A0B4J1Y9,Immunoglobulin heavy variable 3-72
A0A0B4J2D9,Immunoglobulin kappa variable 1D-13
A0A0C4DH24,Immunoglobulin kappa variable 6-21
A0A0C4DH29,Immunoglobulin heavy variable 1-3
A0A0C4DH31,Immunoglobulin heavy variable 1-18
A0A0C4DH33,Immunoglobulin heavy variable 1-24
A0A0C4DH34,Immunoglobulin heavy variable 4-28
A0A0C4DH35,Probable non-functional immunoglobulin heavy variable 3-35
A0A0C4DH36,Probable non-functional immunoglobulin heavy variable 3-38
A0A0C4DH38,Immunoglobulin heavy variable 5-51
A0A0C4DH39,Immunoglobulin heavy variable 1-58
A0A0C4DH43,Immunoglobulin heavy variable 2-70D
A0A0C4DH67,Immunoglobulin kappa variable 1-8
A0A0C4DH73,Immunoglobulin kappa variable 1-12
A0A0G2JS06,Immunoglobulin lambda variable 5-39
A0A0J9YX35,Immunoglobulin heavy variable 3-64D
A0A0J9YXX1,Immunoglobulin heavy variable 5-10-1
A0M8Q6,Immunoglobulin lambda constant 7
A2NJV5,Immunoglobulin kappa variable 2-29
O14791,Apolipoprotein L1
O15371,Eukaryotic translation initiation factor 3 subunit D
P01024,Complement C3
P01591,Immunoglobulin J chain
P01593,Immunoglobulin kappa variable 1D-33
P01597,Immunoglobulin kappa variable 1-39
P01599,Immunoglobulin kappa variable 1-17
P01601,Immunoglobulin kappa variable 1D-16
