uniprot,proteinName,mars14,QuantMethod,abundance,Rank,ppm
P02790,Hemopexin,0,depleted,10581941248,1,64064.4006635622
P0C0L4,Complement C4-A,0,depleted,9769621504,2,59146.5149631125
P04114,Apolipoprotein B-100,0,depleted,9050097664,3,54790.427314123
P02751,Fibronectin,0,depleted,6285386752,4,38052.5203994757
P08603,Complement factor H,0,depleted,6133598720,5,37133.5765998379
P02679,Fibrinogen gamma chain,0,depleted,5799589888,6,35111.4452028732
P02671,Fibrinogen alpha chain,1,depleted,5720990720,7,34635.5959732693
P00738,Haptoglobin,1,depleted,4859269120,8,29418.6252351942
P01023,Alpha-2-macroglobulin,1,depleted,4798526976,9,29050.8846704736
P19823,Inter-alpha-trypsin inhibitor heavy chain H2,0,depleted,4670976000,10,28278.6750503307
P00450,Ceruloplasmin,0,depleted,4554657280,11,27574.4669179938
P02675,Fibrinogen beta chain,0,depleted,4430424064,12,26822.3434333684
P01011,Alpha-1-antichymotrypsin,0,depleted,4404400640,13,26664.7943577592
P00751,Complement factor B,0,depleted,4246788352,14,25710.5897811801
P00747,Plasminogen,0,depleted,3891174912,15,23557.6613753629
P02774,Vitamin D-binding protein,0,depleted,3487425024,16,21113.3088707987
P05155,Plasma protease C1 inhibitor,0,depleted,3265312768,17,19768.6133912844
P01008,Antithrombin-III,0,depleted,3035312384,18,18376.1621946635
P02787,Serotransferrin,1,depleted,2922429440,19,17692.7546815226
P00734,Prothrombin,0,depleted,2913234944,20,17637.0900485561
Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,0,depleted,2788677632,21,16883.004446063
P04003,C4b-binding protein alpha chain,0,depleted,2726278912,22,16505.2347622889
P04004,Vitronectin,0,depleted,2561705984,23,15508.8895973826
P01042,Kininogen-1,0,depleted,2389004800,24,14463.3349503145
P02749,Beta-2-glycoprotein 1,0,depleted,2230528000,25,13503.8965095655
P01031,Complement C5,0,depleted,2207519744,26,13364.6016395214
P06727,Apolipoprotein A-IV,0,depleted,1850613888,27,11203.8487850036
P02760,Protein AMBP,0,depleted,1767674368,28,10701.7225195485
P43652,Afamin,0,depleted,1676819712,29,10151.6770271646
P06396,Gelsolin,0,depleted,1601066752,30,9693.05909807638
P19827,Inter-alpha-trypsin inhibitor heavy chain H1,0,depleted,1526714624,31,9242.92198176223
P04217,Alpha-1B-glycoprotein,0,depleted,1360117760,32,8234.32365424778
P02649,Apolipoprotein E,0,depleted,1283175808,33,7768.50741833774
P10909,Clusterin,0,depleted,1280545664,34,7752.58419640049
P02765,Alpha-2-HS-glycoprotein,0,depleted,1235297280,35,7478.64479964731
P04196,Histidine-rich glycoprotein,0,depleted,1194200832,36,7229.84174462951
P05546,Heparin cofactor 2,0,depleted,1133889152,37,6864.70726300093
P08697,Alpha-2-antiplasmin,0,depleted,962023808,38,5824.21289621564
P01009,Alpha-1-antitrypsin,1,depleted,944410560,39,5717.58008183747
P09871,Complement C1s subcomponent,0,depleted,909491520,40,5506.17583029999
P00736,Complement C1r subcomponent,0,depleted,774520896,41,4689.04672977874
P02746,Complement C1q subcomponent subunit B,0,depleted,768606976,42,4653.24311572599
P25311,Zinc-alpha-2-glycoprotein,0,depleted,766140416,43,4638.31025185939
P02748,Complement component C9,0,depleted,752055808,44,4553.04026699043
P03952,Plasma kallikrein,0,depleted,690798720,45,4182.18216665305
Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,0,depleted,684477056,46,4143.91001924031
P10643,Complement component C7,0,depleted,672288960,47,4070.12175608797
P02747,Complement C1q subcomponent subunit C,0,depleted,584842624,48,3540.7106608295
P13671,Complement component C6,0,depleted,580430016,49,3513.99617808403
P05156,Complement factor I,0,depleted,553619264,50,3351.68051992972
Q96PD5,N-acetylmuramoyl-L-alanine amidase,0,depleted,542781056,51,3286.06464818046
P36955,Pigment epithelium-derived factor,0,depleted,526182976,52,3185.57778830805
P07358,Complement component C8 beta chain,0,depleted,512484096,53,3102.64304917141
P07357,Complement component C8 alpha chain,0,depleted,448580992,54,2715.76563581637
P22792,Carboxypeptidase N subunit 2,0,depleted,428930752,55,2596.80061616715
P01019,Angiotensinogen,0,depleted,415935264,56,2518.12430049512
P00748,Coagulation factor XII,0,depleted,413462720,57,2503.15520874136
P04275,von Willebrand factor,0,depleted,410849856,58,2487.33660209326
P02743,Serum amyloid P-component,0,depleted,403844608,59,2444.92595133441
P20742,Pregnancy zone protein,0,depleted,387826880,60,2347.95261532142
P06681,Complement C2,0,depleted,382960736,61,2318.49236869971
P08185,Corticosteroid-binding globulin,0,depleted,378339296,62,2290.51359081162
P29622,Kallistatin,0,depleted,377316832,63,2284.32346540599
P07225,Vitamin K-dependent protein S,0,depleted,354380384,64,2145.46333000799
P07360,Complement component C8 gamma chain,0,depleted,347694080,65,2104.98360626209
P35858,Insulin-like growth factor-binding protein complex acid labile subunit,0,depleted,343941888,66,2082.26736488247
P0DOX6,Immunoglobulin mu heavy chain,0,depleted,332249696,67,2011.48136679682
Q03591,Complement factor H-related protein 1,0,depleted,323515456,68,1958.60318143008
P02753,Retinol-binding protein 4,0,depleted,291123328,69,1762.49717234318
P51884,Lumican,0,depleted,280889280,70,1700.53896107395
P00742,Coagulation factor X,0,depleted,259567984,71,1571.45715863354
P05543,Thyroxine-binding globulin,0,depleted,258018160,72,1562.07432958856
O75882,Attractin,0,depleted,255301440,73,1545.62696567944
P0C0L5,Complement C4-B,0,depleted,245898672,74,1488.70142788057
O75636,Ficolin-3,0,depleted,245288432,75,1485.00695831731
P01876,Immunoglobulin heavy constant alpha 1,1,depleted,242370864,76,1467.3436354038
P12259,Coagulation factor V,0,depleted,226558848,77,1371.61570566179
Q16610,Extracellular matrix protein 1,0,depleted,222703872,78,1348.27719704371
P02750,Leucine-rich alpha-2-glycoprotein,0,depleted,220003744,79,1331.93028318539
